Chemical_Name	SMILES	Type
phthalylsulfathiazole	C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O	not_ligand
dibucaine	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	not_ligand
Phensuximide	CN1C(=O)CC(C1=O)C2=CC=CC=C2	not_ligand
Sparteine	C1CCN2CC3CC(C2C1)CN4C3CCCC4	not_ligand
benzthiazide	C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N	not_ligand
guaifenesin	COC1=CC=CC=C1OCC(CO)O	not_ligand
Synephrine	CNCC(C1=CC=C(C=C1)O)O	not_ligand
allantoin	C1(C(=O)NC(=O)N1)NC(=O)N	not_ligand
acetaminophen	CC(=O)NC1=CC=C(C=C1)O	not_ligand
Benzonatate	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC	not_ligand
Azacyclonol	C1CNCCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O	not_ligand
succinylsulfathiazole	C1=CC(=CC=C1NC(=O)CCC(=O)O)S(=O)(=O)NC2=NC=CS2	not_ligand
roxarsone	C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O	not_ligand
benzethonium chloride	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]	not_ligand
Carbarsone	C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O	not_ligand
sulfadimethoxine	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC	not_ligand
aminoglutethimide	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N	not_ligand
Oxethazaine	CC(C)(CC1=CC=CC=C1)N(C)C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC2=CC=CC=C2	not_ligand
trimethadione	CC1(C(=O)N(C(=O)O1)C)C	not_ligand
sulfisoxazole	CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
sulfabenzamide	C1=CC=C(C=C1)C(=O)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
sulfamerazine	CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
noscapine	CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3	not_ligand
Piperidolate hydrochloride	CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl	not_ligand
clioquinol	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1	not_ligand
oxybenzone	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	not_ligand
Diphenylpyraline hydrochloride	CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.Cl	not_ligand
Benzydamine hydrochloride	CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3.Cl	not_ligand
trichlormethiazide	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl	not_ligand
hydroflumethiazide	C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1	not_ligand
Mafenide hydrochloride	C1=CC(=CC=C1CN)S(=O)(=O)N.Cl	not_ligand
sulfamethizole	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
thiabendazole	C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3	not_ligand
butacaine	CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N	not_ligand
dydrogesterone	CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C	not_ligand
UNII-184M412SJH	CC(C(C1=CC=CC=C1)O)N.Cl	not_ligand
methoxsalen	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	not_ligand
Cyclizine dihydrochloride	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl	not_ligand
DEXPROPRANOLOL	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	not_ligand
ISOFLUPREDONE ACETATE	CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)O	not_ligand
Procarbazine hydrochloride	CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl	not_ligand
fluorometholone	CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O	not_ligand
metronidazole	CC1=NC=C(N1CCO)[N+](=O)[O-]	not_ligand
dyphylline	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O	not_ligand
santonin	CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C	not_ligand
Crotaglin	CCN(C1=CC=CC=C1C)C(=O)C=CC	not_ligand
ETOFYLLINE	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO	not_ligand
Tetrahydrozoline hydrochloride	C1CC(C2=CC=CC=C2C1)C3=NCCN3.Cl	not_ligand
Canadine	COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC	not_ligand
methocarbamol	COC1=CC=CC=C1OCC(COC(=O)N)O	not_ligand
Amylocaine hydrochloride	CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1.Cl	not_ligand
ethionamide	CCC1=NC=CC(=C1)C(=S)N	not_ligand
Dyclonine hydrochloride	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl	not_ligand
droperidol	C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F	not_ligand
Trimethobenzamide hydrochloride	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC.Cl	not_ligand
chlorotrianisene	COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC	not_ligand
Isoxsuprine hydrochloride	CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl	not_ligand
DEBRISOQUIN SULFATE	C1CN(CC2=CC=CC=C21)C(=N)N.C1CN(CC2=CC=CC=C21)C(=N)N.OS(=O)(=O)O	not_ligand
MEGESTROL ACETATE	CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C	not_ligand
proxyphylline	CC(CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O	not_ligand
bisacodyl	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3	not_ligand
berberine chloride	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-]	not_ligand
Pramoxine hydrochloride	CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2.Cl	not_ligand
sulfameter	COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
dimethadione	CC1(C(=O)NC(=O)O1)C	not_ligand
sulfamethoxazole	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
cyclopenthiazide	C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl	not_ligand
Tetraverin	CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O	not_ligand
PHENFORMIN HYDROCHLORIDE	C1=CC=C(C=C1)CCN=C(N)N=C(N)N.Cl	not_ligand
clofibric acid	CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl	not_ligand
Ethaverine hydrochloride	CCOC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OCC)OCC)OCC.Cl	not_ligand
Ethambutol dihydrochloride	CCC(CO)NCCNC(CC)CO.Cl.Cl	not_ligand
meticrane	CC1=C(C=C2C(=C1)CCCS2(=O)=O)S(=O)(=O)N	not_ligand
Meclizine dihydrochloride	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl	not_ligand
Metformin hydrochloride	CN(C)C(=N)N=C(N)N.Cl	not_ligand
Dexamethasone 21-acetate	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C	not_ligand
Mephentermine sulfate	CC(C)(CC1=CC=CC=C1)NC.CC(C)(CC1=CC=CC=C1)NC.OS(=O)(=O)O	not_ligand
sulfamonomethoxine	COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
Procyclidine hydrochloride	C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O.Cl	not_ligand
flurandrenolide	CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C	not_ligand
Azaperone	C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3	not_ligand
Tranylcypromine hydrochloride	C1C(C1N)C2=CC=CC=C2.Cl	not_ligand
BENPERIDOL	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F	not_ligand
flumethasone	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F	not_ligand
nifenazone	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3	not_ligand
tolnaftate	CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2	not_ligand
bufexamac	CCCCOC1=CC=C(C=C1)CC(=O)NO	not_ligand
SULFADOXINE	COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N	not_ligand
Antazoline hydrochloride	C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl	not_ligand
Methyldopate HCL	CCOC(=O)C(C)(CC1=CC(=C(C=C1)O)O)N.Cl	not_ligand
medrysone	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C	not_ligand
MEBEVERINE HYDROCHLORIDE	CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC.Cl	not_ligand
Dimethisoquin hydrochloride	CCCCC1=CC2=CC=CC=C2C(=N1)OCCN(C)C.Cl	not_ligand
MIDODRINE HYDROCHLORIDE	COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O.Cl	not_ligand
halcinonide	CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C	not_ligand
Moroxydine hydrochloride	C1COCCN1C(=N)N=C(N)N.Cl	not_ligand
CLIDINIUM BROMIDE	C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O.[Br-]	not_ligand
Flavoxate hydrochloride	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4.Cl	not_ligand
ifosfamide	C1CN(P(=O)(OC1)NCCCl)CCCl	not_ligand
trioxsalen	CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C	not_ligand
bromopride	CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br	not_ligand
CEFALONIUM	C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N	not_ligand
CYCLOPENTOLATE HYDROCHLORIDE	CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O.Cl	not_ligand
Hydrocotarnine hydrobromide	CN1CCC2=CC3=C(C(=C2C1)OC)OCO3.Br	not_ligand
fosfosal	C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O	not_ligand
Oxprenolol hydrochloride	CC(C)NCC(COC1=CC=CC=C1OCC=C)O.Cl	not_ligand
proglumide	CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1	not_ligand
ronidazole	CN1C(=CN=C1COC(=O)N)[N+](=O)[O-]	not_ligand
DSSTox_CID_3697	CCOC1C(C(C(O1)C(COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)O	not_ligand
Trimetazidine dihydrochloride	COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC.Cl.Cl	not_ligand
Parbendazole	CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	not_ligand
Selegiline hydrochloride	CC(CC1=CC=CC=C1)N(C)CC#C.Cl	not_ligand
BENSERAZIDE HYDROCHLORIDE	C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O.Cl	not_ligand
thiamphenicol	CS(=O)(=O)C1=CC=C(C=C1)C(C(CO)NC(=O)C(Cl)Cl)O	not_ligand
trapidil	CCN(CC)C1=CC(=NC2=NC=NN12)C	not_ligand
Molindone hydrochloride	CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C.Cl	not_ligand
Fenoterol hydrobromide	CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br	not_ligand
Ornidazole	CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-]	not_ligand
Mepirizole	CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC	not_ligand
streptozocin	CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O	not_ligand
tinidazole	CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C	not_ligand
piromidic acid	CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O	not_ligand
Dilazep	COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC	not_ligand
gliclazide	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2	not_ligand
Spectinomycin dihydrochloride	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O.Cl.Cl	not_ligand
ketoprofen	CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O	not_ligand
Carbimazole	CCOC(=O)N1C=CN(C1=S)C	not_ligand
benfotiamine	CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCOP(=O)(O)O)SC(=O)C2=CC=CC=C2)C	not_ligand
etanidazole	C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO	not_ligand
Terbutaline sulfate	CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O	not_ligand
probucol	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C	not_ligand
Kanamycin sulfate	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N.OS(=O)(=O)O	not_ligand
gemfibrozil	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O	not_ligand
timolol	CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O	not_ligand
suxibuzone	CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)COC(=O)CCC(=O)O	not_ligand
ETOFENAMATE	C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F	not_ligand
Bupropion hydrochloride	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl	not_ligand
Labetalol hydrochloride	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl	not_ligand
tiaprofenic acid	CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O	not_ligand
Etomidate	CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2	not_ligand
Pivampicillin	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C	not_ligand
isoxicam	CC1=CC(=NO1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O	not_ligand
Buflomedil hydrochloride	COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC.Cl	not_ligand
fenbufen	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O	not_ligand
etodolac	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O	not_ligand
nabumetone	CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC	not_ligand
vinpocetine	CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC	not_ligand
fenbendazole	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	not_ligand
DSSTox_CID_25474	CC1CC2C3CCC4=CC(=O)C=CC4(C3C(CC2(C1(C)C(=O)OC)C)O)C	not_ligand
cefadroxil	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O	not_ligand
budesonide	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C	not_ligand
carteolol hydrochloride	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O.Cl	not_ligand
pipemidic acid	CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O	not_ligand
Ribostamycin sulfate	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N.OS(=O)(=O)O	not_ligand
ticlopidine	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl	not_ligand
praziquantel	C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2	not_ligand
piretanide	C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3	not_ligand
DSSTox_CID_25484	CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N.CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O	not_ligand
MEPTAZINOL HYDROCHLORIDE	CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O.Cl	not_ligand
tenoxicam	CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3	not_ligand
iopamidol	CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O	not_ligand
CLORSULON	C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl	not_ligand
rolipram	COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3	not_ligand
Terazosin hydrochloride	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC.Cl	not_ligand
NAFTIFINE HYDROCHLORIDE	CN(CC=CC1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32.Cl	not_ligand
Glafenine hydrochloride	C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl.Cl	not_ligand
norfloxacin	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	not_ligand
iopromide	CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I	not_ligand
enoxacin	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O	not_ligand
isradipine	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC	not_ligand
UNII-P41PML4GHR	CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C	not_ligand
ozagrel hydrochloride	C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O.Cl	not_ligand
LEVOCABASTINE HYDROCHLORIDE	CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl	not_ligand
simvastatin	CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C	not_ligand
roxithromycin	CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O	not_ligand
cisapride	COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F	not_ligand
ECADOTRIL	CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2	not_ligand
ofloxacin	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O	not_ligand
Cetirizine dihydrochloride	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl	not_ligand
Clebopride maleate	COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=CC(=O)O)C(=O)O	not_ligand
ramipril	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O	not_ligand
ioversol	C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO	not_ligand
iodixanol	CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I	not_ligand
Ciprofloxacin hydrochloride	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.Cl	not_ligand
Lomefloxacin hydrochloride	CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl	not_ligand
finasteride	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C	not_ligand
letrozole	C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3	not_ligand
flunisolide	CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C	not_ligand
disopyramide	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C	not_ligand
CEFOTIAM HYDROCHLORIDE	CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl	not_ligand
PENTAMIDINE ISETHIONATE	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O	not_ligand
Cloxacillin sodium salt	CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]	not_ligand
DIETHYLCARBAMAZINE CITRATE	CCN(CC)C(=O)N1CCN(CC1)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	not_ligand
DENATONIUM BENZOATE	CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-]	not_ligand
dipyrone	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+]	not_ligand
Quercetin dihydrate	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O	not_ligand
Nafcillin sodium salt monohydrate	CCOC1=C(C2=CC=CC=C2C=C1)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+]	not_ligand
CEPHAPIRIN SODIUM	CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)[O-].[Na+]	not_ligand
MORANTEL TARTRATE	CC1=C(SC=C1)C=CC2=NCCCN2C.C(C(C(=O)O)O)(C(=O)O)O	not_ligand
naproxen sodium	CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]	not_ligand
indapamide	CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N	not_ligand
Yohimbinic acid monohydrate	C1CC(C(C2C1CN3CCC4=C(C3C2)NC5=CC=CC=C45)C(=O)O)O.O	not_ligand
Metaraminol bitartrate	CC(C(C1=CC(=CC=C1)O)O)N.C(C(C(=O)O)O)(C(=O)O)O	not_ligand
Gabexate mesylate	CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N.CS(=O)(=O)O	not_ligand
Tolmetin sodium dihydrate	CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-].O.O.[Na+]	not_ligand
NCGC00017135-01	C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O	not_ligand
ellagic acid	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	not_ligand
methylergonovine	CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C	not_ligand
nicergoline	CN1CC(CC2(C1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br	not_ligand
kojic acid	C1=C(OC=C(C1=O)O)CO	not_ligand
PERGOLIDE MESYLATE	CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O	not_ligand
Sodium 4-phenylbutyrate	C1=CC=C(C=C1)CCCC(=O)[O-].[Na+]	not_ligand
theophylline	CN1C2=C(C(=O)N(C1=O)C)NC=N2	not_ligand
Miglustat	CCCCN1CC(C(C(C1CO)O)O)O	not_ligand
Enrofloxacin	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F	not_ligand
Cladribine	C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O	not_ligand
nalidixic acid	CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O	not_ligand
flumequine	CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O	not_ligand
dropropizine	C1CN(CCN1CC(CO)O)C2=CC=CC=C2	not_ligand
Metrifonate	COP(=O)(C(C(Cl)(Cl)Cl)O)OC	not_ligand
sulfacetamide	CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N	not_ligand
sulfamethazine	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C	not_ligand
OXYPHENONIUM BROMIDE	CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.[Br-]	not_ligand
Econazole nitrate	C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-]	not_ligand
HYDROCORTISONE VALERATE	CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO	not_ligand
