PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
7548,170465142,60196266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
8102,170465696,60196268,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,Tocris
7662,170465256,60196269,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,47.326,inactive,,0,"Prestwick Chemical, Inc."
9004,170466598,60196270,Active,54,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enzo
9049,170466643,60196272,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,15.8465,39.2419,inactive,,0,SIGMA
7793,170465387,60196280,Inactive,0,,,active antagonist,active antagonist,6.18824,-80.008,active agonist,10.5901,43.9034,active antagonist,9.43844,-84.6604,inactive,,0,Tocris
7695,170465289,60196290,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
748,144207760,60196294,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
7675,170465269,60196296,Inactive,0,,,active antagonist,active antagonist,21.9567,-65.3056,active agonist,17.4408,33.6231,inconclusive antagonist,25.1131,-64.6684,inconclusive agonist,,,GVK
8035,170465629,60196301,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,11.8823,48.3379,inactive,,0,Microsource
8185,170465779,60196308,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
12,144206376,60196310,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,2.66011,35.0115,inactive,,0,SIGMA
13,144206379,60196312,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
17,144206384,60196314,Inconclusive,5,,,inactive,inactive,,0,inconclusive antagonist,18.8322,-33.0179,inactive,,0,inactive,,0,Microsource
21,144206390,60196316,Inactive,0,,,inconclusive antagonist (cytotoxic),active antagonist,17.4408,-71.7601,active agonist,29.847,50.0085,inconclusive antagonist,29.847,-142.847,inconclusive antagonist,21.13,-66.0868,Sequoia
22,144206392,60196318,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enzo
23,144206393,60196319,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
25,144206396,60196321,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Microsource
26,144206397,60196322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
27,144206398,60196323,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Vitas
29,144206400,60196324,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,"Prestwick Chemical, Inc."
30,144206401,60196325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
32,144206405,60196328,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
33,144206411,60196330,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
42,144206427,60196332,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.595525,59.1967,inactive,,0,GVK
56,144206444,60196334,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
57,144206445,60196335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
72,144206473,60196336,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
8310,170465904,60196342,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
9231,170466825,60196343,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
6679,144213691,60196348,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
124,144206836,60196350,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,1.18823,-47.5197,inactive,,0,GVK
138,144206852,60196351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
7328,170464922,60196354,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
7786,170465380,60196356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
9295,170466889,60196361,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.0841202,57.6259,inactive,,0,GVK
8804,170466398,60196362,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
7202,170464796,60196364,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
7435,170465029,60196365,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
185,144207173,60196368,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,13.3322,-198.281,inconclusive agonist,,,Vitas
8056,170465650,60196370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
751,144207763,60196371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,GVK
2145,144209157,60196372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5964,144212976,60196372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2801,144209813,60196373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2819,144209831,60196374,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2834,144209846,60196375,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2839,144209851,60196376,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2841,144209853,60196377,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
2843,144209855,60196378,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2844,144209856,60196379,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,52.0715,48.4278,inconclusive agonist,,,GVK
2845,144209857,60196380,Inactive,0,,,inconclusive,inconclusive antagonist,11.8823,-50.3376,inactive,,0,inactive,,0,inactive,,0,GVK
2847,144209859,60196381,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2849,144209861,60196382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
2851,144209863,60196383,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,16.2819,inactive,,0,GVK
2854,144209866,60196384,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2855,144209867,60196385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2856,144209868,60196386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
2857,144209869,60196387,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2858,144209870,60196388,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
2861,144209873,60196389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2863,144209875,60196390,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,21.944,inactive,,0,GVK
2864,144209876,60196391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,23.2595,40.0231,inactive,,0,GVK
2877,144209889,60196392,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2892,144209904,60196393,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
2894,144209906,60196394,Inactive,0,,,inconclusive,inconclusive antagonist,17.7787,-30.2237,inactive,,0,inconclusive,,,inactive,,0,GVK
2895,144209907,60196395,Inactive,0,,,active antagonist,active antagonist,18.8322,-77.5522,inconclusive agonist,31.6155,33.1929,inconclusive antagonist,11.8823,-71.1091,inconclusive agonist,0.266011,55.288,GVK
2897,144209909,60196396,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,6.6819,64.9362,inactive,,0,GVK
2898,144209910,60196397,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3032,144210044,60196398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3517,144210529,60196399,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
3527,144210539,60196400,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3534,144210546,60196401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
3536,144210548,60196402,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,GVK
3538,144210550,60196403,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,active agonist,15.5441,98.2751,inactive,,0,GVK
3544,144210556,60196404,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,GVK
3553,144210565,60196405,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3556,144210568,60196406,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3562,144210574,60196407,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
3563,144210575,60196408,Inconclusive,25,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
3564,144210576,60196409,Active,58,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
3565,144210577,60196410,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
3566,144210578,60196411,Inconclusive,25,,,active antagonist,active antagonist,9.43844,-89.6152,inconclusive agonist,,,active antagonist,17.7787,-130.87,inactive,,0,SIGMA
3571,144210583,60196412,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,4.216,30.5769,inactive,,0,GVK
3767,144210779,60196413,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,GVK
3891,144210903,60196414,Inactive,0,,,inconclusive antagonist (cytotoxic),active antagonist,11.4349,-132.345,active agonist,21.9567,129.313,active antagonist,11.8823,-136.636,active antagonist,19.5689,-104.816,Vitas
4373,144211385,60196415,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,active antagonist,10.5901,-63.4526,inconclusive antagonist,19.948,-32.3615,GVK
4580,144211592,60196416,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,GVK
4609,144211621,60196418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4718,144211730,60196419,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
4734,144211746,60196420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5074,144212086,60196421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,25.1131,-85.4792,inconclusive,,,GVK
5075,144212087,60196422,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,18.1268,inactive,,0,Bosche
5092,144212104,60196424,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,9.43844,87.1751,inactive,,0,GVK
5095,144212107,60196425,Inconclusive,25,,,inconclusive antagonist,inconclusive antagonist,23.7083,-61.2103,inactive,,0,inconclusive antagonist,23.7083,-90.9752,inconclusive antagonist,,,GVK
5096,144212108,60196426,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,GVK
5135,144212147,60196427,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.0334889,79.8603,inactive,,0,GVK
5576,144212588,60196428,Inconclusive,30,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
5699,144212711,60196430,Inconclusive,5,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5800,144212812,60196431,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5806,144212818,60196432,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,27.6418,62.6779,inactive,,0,GVK
5831,144212843,60196433,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5998,144213010,60196434,Inconclusive,20,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
6645,144213657,60196435,Active,71,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
6649,144213661,60196436,Active,55,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,6.30812,-77.2568,inconclusive,,,GVK
6704,144213716,60196438,Active,44,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
6795,144213807,60196440,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,GVK
6894,144213906,60196441,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,1.67842,-68.5037,inactive,,0,GVK
7501,170465095,72187522,Inconclusive,10,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,18.8322,48.0035,inactive,,0,GVK
7959,170465553,72187524,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
8413,170466007,72187525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
8447,170466041,72187526,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
8453,170466047,72187527,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.0749722,46.857,inactive,,0,GVK
9196,170466790,72187528,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,GVK
5775,144212787,86287524,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,GVK
